Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2009092964135,2009-09-28 00:00:00,2009-09-03 00:00:00,SAN,San Diego International,American Airlines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),390.0,Denied,0.0,Deny,25.0,390.0
2009071461231,2009-07-08 00:00:00,2009-06-11 00:00:00,PBI,Palm Beach International,American Airlines,Property Damage,Checkpoint,DVD/CD Players,167.59,Denied,0.0,Deny,27.0,167.59
2008123053819,2008-12-22 00:00:00,2008-11-23 00:00:00,JFK,John F. Kennedy International,Air Canada,Passenger Property Loss,Checked Baggage,Jewelry - Costume,485.98,Settled,242.99,Settle,29.0,242.99
20472,2002-11-14 00:00:00,2002-11-04 00:00:00,ELP,El Paso International Airport,Southwest Airlines,Property Damage,Checkpoint,Jewelry - Fine,195.0,Settled,146.25,Settle,10.0,48.75
2007041323967,2007-04-09 00:00:00,2007-03-27 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Costume,70.0,Settled,35.0,Settle,13.0,35.0
2005070188109,2005-06-28 00:00:00,2005-06-11 00:00:00,OAK,Metropolitan Oakland International,Aloha Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),200.0,Approved,200.0,Approve in Full,17.0,0.0
2006083111850,2006-08-28 00:00:00,2006-08-22 00:00:00,SEA,Seattle-Tacoma International,UAL,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,7.59,Denied,0.0,Deny,6.0,7.59
2005032379570,2005-03-07 00:00:00,2005-02-24 00:00:00,GSO,Piedmont Triad International Airport,Independence Air,Passenger Property Loss,Checked Baggage,Other,28.8,Denied,0.0,Deny,11.0,28.8
2006052206715,2006-05-18 00:00:00,2006-05-05 00:00:00,BTR,Baton Rouge Metropolitan,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,72.0,Settled,36.0,Settle,13.0,36.0
2008013138964,2008-01-28 00:00:00,2008-12-09 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Locks,83.3,Denied,0.0,Deny,-316.0,83.3
2009121466510,2009-12-09 00:00:00,2009-11-22 06:00:00,BUF,Buffalo Niagara International,Jet Blue,Passenger Property Loss,Checkpoint,Currency,180.0,Denied,0.0,Deny,16.0,180.0
2007051725530,2007-05-14 00:00:00,2007-04-20 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc),164.99,Settled,82.5,Settle,24.0,82.49000000000001
2006022802268,2006-02-23 00:00:00,2005-12-23 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Other,359.95,Denied,0.0,Deny,62.0,359.95
2006020600969,2006-01-31 00:00:00,2006-01-08 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,43.34,Settled,22.0,Settle,23.0,21.340000000000003
2004122971651,2004-11-09 00:00:00,2004-10-26 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Denied,0.0,Deny,14.0,150.0
2010010567123,2009-12-28 00:00:00,2009-12-14 06:00:00,RAP,Rapid City Regional,Frontier Airlines,Passenger Property Loss,Checked Baggage,Alcoholic beverages,20.0,Denied,0.0,Deny,13.0,20.0
